championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Compound Men Individual,Bronze,Uday Kamboj,Punjab,148,Amit Thakur,Jammu and Kashmir,142,Uday Kamboj
38th National Games Uttarakhand,Compound Men Individual,Bronze,Simranjot Singh,Punjab,141,Rajat Chauhan,Rajasthan,147,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Bronze,Sukhmandeep Singh,Punjab,144(1,Amit Thakur,Jammu and Kashmir,144(9,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Chittibomma Jignas,Services Sports Control Board,143,Rishabh Yadav,Haryana,146,Rishabh Yadav
38th National Games Uttarakhand,Compound Men Individual,Bronze,Abhishek Verma,Delhi,147,Ojas Deotale,Maharashtra,149,Ojas Deotale
38th National Games Uttarakhand,Compound Men Individual,Bronze,Sahil Jadhav,Maharashtra,148,Thirumuru Mani Ratnam,Andhra Pradesh,148,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Jasmeet Singh,Rajasthan,148,Hritik Sharma,Jammu and Kashmir,149,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Bronze,Mohit Dagar,Haryana,146,Priyansh,Delhi,147,Priyansh
38th National Games Uttarakhand,Compound Men Individual,Bronze,Kushal Dalal,Haryana,149,Aman Saini,Delhi,147,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Bronze,Prathmesh Fuge,Maharashtra,148,Chirag Vidhyarthi,Madhya Pradesh,145,Prathmesh Fuge
38th National Games Uttarakhand,Compound Men Individual,Bronze,Uday Kamboj,Punjab,147,Rajat Chauhan,Rajasthan,150,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Bronze,Sukhmandeep Singh,Punjab,145,Rishabh Yadav,Haryana,149,Rishabh Yadav
38th National Games Uttarakhand,Compound Men Individual,Bronze,Ojas Deotale,Maharashtra,147,Thirumuru Mani Ratnam,Andhra Pradesh,147,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Hritik Sharma,Jammu and Kashmir,148,Priyansh,Delhi,146,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Bronze,Kushal Dalal,Haryana,149,Prathmesh Fuge,Maharashtra,146,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Bronze,Rajat Chauhan,Rajasthan,149,Rishabh Yadav,Haryana,148,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Bronze,Thirumuru Mani Ratnam,Andhra Pradesh,145,Hritik Sharma,Jammu and Kashmir,248,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Bronze,Kushal Dalal,Haryana,145,Rajat Chauhan,Rajasthan,146,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Bronze,Rajat Chauhan,Rajasthan,144,Hritik Sharma,Jammu and Kashmir,143,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Bronze,Rajat Chauhan,Rajasthan,,,,,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Thirumuru Mani Ratnam,Andhra Pradesh,149,Kushal Dalal,Haryana,144,Thirumuru Mani Ratnam
38th National Games Uttarakhand,Compound Men Individual,Bronze,Thirumuru Mani Ratnam,Andhra Pradesh,,,,,
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Adarsh Panwar,Uttarakhand,6,Pradeep,Uttarakhand,0,Adarsh Panwar
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Kamal Kumar,Rajasthan,4,Sraban Mandangi,Odisha,6,Sraban Mandangi
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Chanambam Singh,Manipur,6,Ravi,Haryana,4,Chanambam Singh
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Jay Prakash,Bihar,2,Gemmeli Naidu,Andhra Pradesh,6,Gemmeli Naidu
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Manish Manish,Uttar Pradesh,6,Sanjaya Majhi,Odisha,2,Manish Manish
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Vai Bhav,Mizoram,2,Jaydeep Kushwaha,Uttar Pradesh,6,Jaydeep Kushwaha
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Ashish Malik,Haryana,6,Abhishek,Uttar Pradesh,2,Ashish Malik
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Aniket Gavade,Maharashtra,7,Yashu,Haryana,1,Aniket Gavade
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Gaurav Chandane,Maharashtra,6,Pawan Jadhav,Maharashtra,0,Gaurav Chandane
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Roshan Solanke,Maharashtra,7,Monu Kumar,Delhi,3,Roshan Solanke
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Roshan Solanke,Maharashtra,7,Monu Kumar,Delhi,3,Roshan Solanke
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Madho Birua,Jharkhand,1,Rahul,Haryana,7,Rahul
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Keisham Singh,Manipur,5,Chingakham Singh,Manipur,5,
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Guduru Lokesh,Andhra Pradesh,6,Dasarath Rajagopal,Kerala,0,Guduru Lokesh
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Akumala Sathwik,Andhra Pradesh,1,Gurmann Kamboj,Punjab,7,Gurmann Kamboj
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Arun Baro,Assam,5,Elangbam Meitei,Manipur,5,
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Kayam Laxman,Telangana,0,Subham,Uttar Pradesh,6,Subham
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Adarsh Panwar,Uttarakhand,6,Sraban Mandangi,Odisha,4,Adarsh Panwar
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Chanambam Singh,Manipur,6,Gemmeli Naidu,Andhra Pradesh,4,Chanambam Singh
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Manish Manish,Uttar Pradesh,7,Jaydeep Kushwaha,Uttar Pradesh,3,Manish Manish
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Ashish Malik,Haryana,5,Aniket Gavade,Maharashtra,5,
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Gaurav Chandane,Maharashtra,7,Roshan Solanke,Maharashtra,3,Gaurav Chandane
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Rahul,Haryana,2,Chingakham Singh,Manipur,6,Chingakham Singh
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Guduru Lokesh,Andhra Pradesh,5,Gurmann Kamboj,Punjab,5,
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Elangbam Meitei,Manipur,2,Subham,Uttar Pradesh,6,Subham
38th National Games Uttarakhand,Indian Round Men Individual,Quarter Final,Adarsh Panwar,Uttarakhand,7,Chanambam Singh,Manipur,3,Adarsh Panwar
38th National Games Uttarakhand,Indian Round Men Individual,Quarter Final,Manish Manish,Uttar Pradesh,6,Ashish Malik,Haryana,4,Manish Manish
38th National Games Uttarakhand,Indian Round Men Individual,Quarter Final,Gaurav Chandane,Maharashtra,3,Chingakham Singh,Manipur,7,Chingakham Singh
38th National Games Uttarakhand,Indian Round Men Individual,Quarter Final,Gurmann Kamboj,Punjab,1,Subham,Uttar Pradesh,7,Subham
