event_name,state_name,player_name,score
Indian Round Men Individual,ODISHA,SANJAYA MAJHI,632
Indian Round Men Individual,MAHARASHTRA,ANIKET GAVADE,632
Indian Round Men Individual,MAHARASHTRA,PAWAN JADHAV,631
Indian Round Men Individual,TELANGANA,KAYAM LAXMAN,631
Indian Round Men Individual,UTTARAKHAND,PRADEEP,631
Indian Round Men Individual,ASSAM,RAJESH NARZARY,630
Indian Round Men Individual,RAJASTHAN,GURJEET SINGH,629
Indian Round Men Individual,MIZORAM,ISAK LALCHUOILOVA,626
Indian Round Men Individual,PUNJAB,PIRTHI SINGH,625
Indian Round Men Individual,RAJASTHAN,KARAN RATHORE,624
Indian Round Men Individual,ODISHA,TRINATH MUNDA,623
Indian Round Men Individual,ODISHA,RASHMI NAIK,616
Indian Round Men Individual,BIHAR,NIRBHAY SINGH,615
Indian Round Men Individual,UTTARAKHAND,DEEPAK YADAV,610
Indian Round Men Individual,ANDHRA PRADESH,ADAPA NAIDU,601
Indian Round Men Individual,UTTARAKHAND,SHAILENDRA NEGI,600
Indian Round Men Individual,JAMMU AND KASHMIR,BHAWANI JASROTIA,594
Indian Round Men Individual,CHHATTISGARH,ASHISH KUMAR,594
Indian Round Men Individual,TELANGANA,RAMAVATH RAVI,589
Indian Round Men Individual,MADHYA PRADESH,RAJIV BHARTI,583
Indian Round Men Individual,RAJASTHAN,VIKAS YADAV,576
Recurve Men Team,SERVICES SPORTS CONTROL BOARD,,
Recurve Men Team,BOMMADEVARA DHIRAJ,,690.0
Recurve Men Team,HARYANA,,
Recurve Men Team,PARAS HOODA,,671.0
Recurve Men Team,UTTAR PRADESH,,
Recurve Men Team,MRINAL CHAUHAN,,645.0
Recurve Men Team,UTTARAKHAND,,
Recurve Men Team,KARTIK RANA,,653.0
Recurve Men Team,JHARKHAND,,
Recurve Men Team,GOLDI MISHRA,,671.0
Recurve Men Team,ASSAM,,
Recurve Men Team,BISHAL CHANGMAI,,665.0
Recurve Men Team,DELHI,,
Recurve Men Team,DHRUV BAGGA,,657.0
Recurve Men Team,RAJASTHAN,,
Recurve Men Team,MAHESH KUMAWAT,,666.0
Compound Men Team,HARYANA,,
Compound Men Team,RISHABH YADAV,,2135.0
Compound Men Team,DELHI,,
Compound Men Team,MADHUR,,2134.0
Compound Men Team,MAHARASHTRA,,
Compound Men Team,PRATHMESH FUGE,,2125.0
Compound Men Team,RAJASTHAN,,
Compound Men Team,SIDDHARTH DUDHWAL,,2125.0
Compound Men Team,PUNJAB,,
Compound Men Team,UDAY KAMBOJ,,2121.0
Compound Men Team,JAMMU AND KASHMIR,,
Compound Men Team,SANGARSH SINGH,,2113.0
Compound Men Team,SERVICES SPORTS CONTROL BOARD,,
Compound Men Team,KUNDERU VENKATADRI,,2107.0
Compound Men Team,UTTARAKHAND,,
Compound Men Team,DIGVIJAY SINGH,,2077.0
Indian Round Men Team,UTTAR PRADESH,,
Indian Round Men Team,ABHISHEK,,638.0
Indian Round Men Team,MANIPUR,,
Indian Round Men Team,CHINGAKHAM SINGH,,656.0
Indian Round Men Team,HARYANA,,
Indian Round Men Team,YASHU,,660.0
Indian Round Men Team,ANDHRA PRADESH,,
Indian Round Men Team,AKUMALA SATHWIK,,636.0
Indian Round Men Team,MAHARASHTRA,,
Indian Round Men Team,GAURAV CHANDANE,,660.0
Indian Round Men Team,UTTARAKHAND,,
Indian Round Men Team,ADARSH PANWAR,,673.0
Indian Round Men Team,ODISHA,,
Indian Round Men Team,SANJAYA MAJHI,,632.0
Indian Round Men Team,RAJASTHAN,,
Indian Round Men Team,VIKAS YADAV,,576.0
Recurve Women Individual,JHARKHAND,DEEPIKA KUMARI,674
Recurve Women Individual,JHARKHAND,KOMALIKA BARI,667
Recurve Women Individual,WEST BENGAL,BASANTI MAHATO,661
Recurve Women Individual,GUJARAT,BHAGORA BHARGAVIBEN,660
Recurve Women Individual,MAHARASHTRA,GATHA KHADAKE,653
Recurve Women Individual,MAHARASHTRA,VAISHNAVI PAWAR,652
Recurve Women Individual,JHARKHAND,ANKITA BHAKAT,651
Recurve Women Individual,JHARKHAND,ANKITA BHAKAT,651
Recurve Women Individual,PUNJAB,SIMRANJEET KAUR,650
Recurve Women Individual,MAHARASHTRA,SHARVARI SHENDE,650
Recurve Women Individual,HARYANA,BHAJAN KAUR,649
Recurve Women Individual,BIHAR,ANSHIKA KUMARI,645
Recurve Women Individual,HARYANA,KIRTI,642
