event_name,name,state/unit
COMPOUND (MEN),SANJAY HO,Odisha
COMPOUND (MEN),KESHABA BANARA,Odisha
COMPOUND (WOMEN),PARNEET KAUR,Punjab
COMPOUND (WOMEN),Madhura Dhamangaonkar,Maharashtra
COMPOUND (WOMEN),Jasveer Kaur,RSPB
COMPOUND (WOMEN),Avneet Kaur,Punjab
COMPOUND (WOMEN),SWATI DUDHWAL,Rajasthan
COMPOUND (WOMEN),Supyar,Rajasthan
COMPOUND (WOMEN),K. S. Vhenisa Sree,Tamilnadu
COMPOUND (WOMEN),aditi gopichand swami,Maharashtra
COMPOUND (WOMEN),Prithika pradeep,Maharashtra
COMPOUND (WOMEN),Purvasha Shende,Maharashtra
COMPOUND (WOMEN),MADALA SURYA HAMSINI,Andhra Pradesh
COMPOUND (WOMEN),Sunaina Devi,Jammu & Kashmir
COMPOUND (WOMEN),Akshita,Delhi
COMPOUND (WOMEN),Kumud Saini,Delhi
COMPOUND (WOMEN),SAMIKSHA MANAKTALA,Delhi
COMPOUND (WOMEN),Divya Dhayal,SSCB
COMPOUND (WOMEN),Madhuravarshini,Tamilnadu
COMPOUND (WOMEN),S.P.DIKSHITHA,Tamilnadu
COMPOUND (WOMEN),JASMEET KAUR,Punjab
COMPOUND (WOMEN),Maya Bishnoi,RSPB
COMPOUND (WOMEN),Varenya Rana,Uttar Pradesh
COMPOUND (WOMEN),Srishti Singh,Madhya Pradesh
COMPOUND (WOMEN),Trisha Deb,RSPB
COMPOUND (WOMEN),Raginee Marko,Madhya Pradesh
COMPOUND (WOMEN),Kiran,Haryana
COMPOUND (WOMEN),Angel,Haryana
COMPOUND (WOMEN),DEEPSHIKHA,Haryana
COMPOUND (WOMEN),Babita kumari,Jharkhand
COMPOUND (WOMEN),Megha Besra,Jharkhand
COMPOUND (WOMEN),Raj kaur,AIPSCB
COMPOUND (WOMEN),Promila daimary,AIPSCB
COMPOUND (WOMEN),Kashish,AIPSCB
COMPOUND (WOMEN),Sumandeep kaur,AIPSCB
COMPOUND (WOMEN),Krati Swami,Rajasthan
COMPOUND (WOMEN),Muskan Kirar,Madhya Pradesh
COMPOUND (WOMEN),BUDDE SHANMUKHI NAGA SAI,Andhra Pradesh
COMPOUND (WOMEN),KENGAM SARANYA,Andhra Pradesh
COMPOUND (WOMEN),KARRI SUSHMITHA,Andhra Pradesh
COMPOUND (WOMEN),Jaswinder Kaur,Punjab
COMPOUND (WOMEN),Risha Rathi,Uttar Pradesh
COMPOUND (WOMEN),Maya Bishnoi,RSPB
COMPOUND (WOMEN),Taniparthi Chikitha,Telangana
COMPOUND (WOMEN),B MANASA NAYANA,Telangana
COMPOUND (WOMEN),M. SRESHTA REDDY,Telangana
COMPOUND (WOMEN),MAnsurah Hasibah,Telangana
COMPOUND (WOMEN),Krati Swami,Rajasthan
COMPOUND (WOMEN),Subbiksha V K,Goa
COMPOUND (WOMEN),Anuradha Boruah,Goa
COMPOUND (WOMEN),Vismayamol Babu,Kerala
COMPOUND (WOMEN),Rishika Rajagopal,Kerala
COMPOUND (WOMEN),Sreenanda s,Kerala
COMPOUND (WOMEN),EVANGEL K V,Kerala
COMPOUND (WOMEN),HUIDROM ALBHAPATI DEVI,Manipur
COMPOUND (WOMEN),Senyai Thongam,Manipur
COMPOUND (WOMEN),Laishram Dulina Devi,Manipur
COMPOUND (WOMEN),Ksh Manglemsana,Manipur
COMPOUND (WOMEN),Chumki Mondal,West Bengal
COMPOUND (WOMEN),Padma sahu,Chhattisgarh
COMPOUND (WOMEN),Aditi Sahu,Chhattisgarh
